Entry	EC number	Protein families	Enzyme class
O00748	3.1.1.1; 3.1.1.56; 3.1.1.84	Type-B carboxylesterase/lipase family	Hydrolases
O00754	3.2.1.24	Glycosyl hydrolase 38 family	Hydrolases
O00757	3.1.3.11	FBPase class 1 family	Hydrolases
O14494	3.1.3.-; 3.1.3.106; 3.1.3.4; 3.6.1.75	PA-phosphatase related phosphoesterase family	Hydrolases
O14495	3.1.3.-; 3.1.3.4	PA-phosphatase related phosphoesterase family	Hydrolases
O14522	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 2B subfamily	Hydrolases
O14595	3.1.3.16		Hydrolases
O14638	3.1.4.1; 3.6.1.-; 3.6.1.9	Nucleotide pyrophosphatase/phosphodiesterase family	Hydrolases
O14646	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
O14647	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
O14656	3.6.4.-	ClpA/ClpB family, Torsin subfamily	Hydrolases
O14657	3.6.4.-	ClpA/ClpB family, Torsin subfamily	Hydrolases
O14672	3.4.24.81		Hydrolases
O14732	3.1.3.25	Inositol monophosphatase superfamily	Hydrolases
O14734	3.1.2.1; 3.1.2.11; 3.1.2.2; 3.1.2.27; 3.1.2.3; 3.1.2.5	C/M/P thioester hydrolase family	Hydrolases
O14773	3.4.14.9		Hydrolases
O14807	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
O14815	3.4.22.-	Peptidase C2 family	Hydrolases
O14829	3.1.3.16	PPP phosphatase family	Hydrolases
O14830	3.1.3.16	PPP phosphatase family	Hydrolases
O14939	3.1.4.4	Phospholipase D family	Hydrolases
O14981	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
O15056	3.1.3.36	Synaptojanin family; Inositol 1,4,5-trisphosphate 5-phosphatase family	Hydrolases
O15072	3.4.24.-		Hydrolases
O15091	3.1.26.5	PPR family, P subfamily	Hydrolases
O15162	3.1.-.-	Phospholipid scramblase family	Hydrolases
O15194	3.1.3.16		Hydrolases
O15204	3.4.24.-		Hydrolases
O15297	3.1.3.16	PP2C family	Hydrolases
O15327	3.1.3.66	Inositol 3,4-bisphosphate 4-phosphatase family	Hydrolases
O15355	3.1.3.16	PP2C family	Hydrolases
O15357	3.1.3.86	Inositol 1,4,5-trisphosphate 5-phosphatase family	Hydrolases
O15379	3.5.1.-; 3.5.1.98	Histone deacetylase family, HD type 1 subfamily	Hydrolases
O15393	3.4.21.122	Peptidase S1 family	Hydrolases
O15484	3.4.22.-	Peptidase C2 family	Hydrolases
O15496	3.1.1.4	Phospholipase A2 family	Hydrolases
O15523	3.6.4.13	DEAD box helicase family, DDX3/DED1 subfamily	Hydrolases
O15527	3.2.2.-; 4.2.99.18	Type-1 OGG1 family	Hydrolases
O43143	3.6.4.13	DEAD box helicase family, DEAH subfamily, DDX15/PRP43 sub-subfamily	Hydrolases
O43184	3.4.24.-		Hydrolases
O43240	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
O43280	3.2.1.28	Glycosyl hydrolase 37 family	Hydrolases
O43323	3.1.-.-	Hedgehog family	Hydrolases
O43426	3.1.3.36	Synaptojanin family; Inositol 1,4,5-trisphosphate 5-phosphatase family	Hydrolases
O43451	3.2.1.20	Glycosyl hydrolase 31 family	Hydrolases
O43462	3.4.24.85	Peptidase M50A family	Hydrolases
O43464	3.4.21.108	Peptidase S1C family	Hydrolases
O43506	3.4.24.-		Hydrolases
O43598	3.2.2.-	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 family	Hydrolases
O43681	3.6.4.-	ArsA ATPase family	Hydrolases
O43688	3.1.3.-; 3.1.3.4	PA-phosphatase related phosphoesterase family	Hydrolases
O43820	3.2.1.35	Glycosyl hydrolase 56 family	Hydrolases
O43847	3.4.24.61	Peptidase M16 family	Hydrolases
O43895	3.4.11.9	Peptidase M24B family	Hydrolases
O43897	3.4.24.-		Hydrolases
O43933	3.6.4.-	AAA ATPase family	Hydrolases
O60231	3.6.4.13	DEAD box helicase family, DEAH subfamily, DDX16/PRP8 sub-subfamily	Hydrolases
O60235	3.4.21.-	Peptidase S1 family	Hydrolases
O60259	3.4.21.118	Peptidase S1 family, Kallikrein subfamily	Hydrolases
O60264	3.6.4.-	SNF2/RAD54 helicase family, ISWI subfamily	Hydrolases
O60282	3.6.4.-	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, Kinesin subfamily	Hydrolases
O60306	3.6.4.13	CWF11 family	Hydrolases
O60313	3.6.5.5	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	Hydrolases
O60346	3.1.3.16		Hydrolases
O60476	3.2.1.113	Glycosyl hydrolase 47 family	Hydrolases
O60502	3.2.1.169	Glycosyl hydrolase 84 family	Hydrolases
O60658	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE8 subfamily	Hydrolases
O60729	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily	Hydrolases
O60733	3.1.1.4; 3.1.1.5; 3.1.2.2		Hydrolases
O60825	2.7.1.105; 3.1.3.46	Phosphoglycerate mutase family	Hydrolases
O60841	3.6.5.3	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, IF-2 subfamily	Hydrolases
O60882	3.4.24.-	Peptidase M10A family	Hydrolases
O60906	3.1.4.12	Neutral sphingomyelinase family	Hydrolases
O60911	3.4.22.43	Peptidase C1 family	Hydrolases
O60930	3.1.26.4	RNase H family	Hydrolases
O60942	2.7.7.50; 3.6.1.74	Non-receptor class of the protein-tyrosine phosphatase family; Eukaryotic GTase family	Hydrolases
O75038	3.1.4.11		Hydrolases
O75061	3.1.3.-		Hydrolases
O75113	3.1.-.-	N4BP1 family	Hydrolases
O75173	3.4.24.82		Hydrolases
O75317	3.4.19.12	Peptidase C19 family, USP12/USP46 subfamily	Hydrolases
O75319	3.1.3.-	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
O75351	3.6.4.6	AAA ATPase family	Hydrolases
O75354	3.6.1.6	GDA1/CD39 NTPase family	Hydrolases
O75355	3.6.1.5	GDA1/CD39 NTPase family	Hydrolases
O75356	3.6.1.6	GDA1/CD39 NTPase family	Hydrolases
O75365	3.1.3.48	Protein-tyrosine phosphatase family	Hydrolases
O75417	2.7.7.49; 2.7.7.7; 3.6.4.12	DNA polymerase type-A family	Hydrolases
O75439	3.4.24.64	Peptidase M16 family	Hydrolases
O75460	2.7.11.1; 3.1.26.-	Protein kinase superfamily, Ser/Thr protein kinase family	Hydrolases
O75503	2.3.1.-; 3.1.2.22	CLN5 family	Hydrolases
O75604	3.4.19.12	Peptidase C19 family, USP2 subfamily	Hydrolases
O75608	3.1.2.-; 3.1.2.22	AB hydrolase superfamily, AB hydrolase 2 family	Hydrolases
O75643	3.6.4.13	Helicase family, SKI2 subfamily	Hydrolases
O75688	3.1.3.16	PP2C family	Hydrolases
O75783	3.4.21.105	Peptidase S54 family	Hydrolases
O75792	3.1.26.4	RNase HII family, Eukaryotic subfamily	Hydrolases
O75808	3.4.22.-	Peptidase C2 family	Hydrolases
O75844	3.4.24.84	Peptidase M48A family	Hydrolases
O75884	3.-.-.-	RBBP9 family	Hydrolases
O75900	3.4.24.-	Peptidase M10A family	Hydrolases
O75951	3.2.1.17	Glycosyl hydrolase 22 family	Hydrolases
O75976	3.4.17.22	Peptidase M14 family	Hydrolases
O76031	3.6.4.10	ClpX chaperone family	Hydrolases
O76074	3.1.4.35	Cyclic nucleotide phosphodiesterase family	Hydrolases
O76075	3.-.-.-		Hydrolases
O76083	3.1.4.35	Cyclic nucleotide phosphodiesterase family, PDE9 subfamily	Hydrolases
O77932	3.1.13.-; 3.6.1.-	DXO/Dom3Z family	Hydrolases
O94760	3.5.3.18	DDAH family	Hydrolases
O94782	3.4.19.12	Peptidase C19 family	Hydrolases
O94811	3.6.5.-	TPPP family	Hydrolases
O94830	3.1.1.-; 3.1.1.3	PA-PLA1 family	Hydrolases
O94925	3.5.1.2	Glutaminase family	Hydrolases
O94955	3.6.1.-		Hydrolases
O94966	3.4.19.12	Peptidase C19 family	Hydrolases
O95140	3.6.5.-	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family, Mitofusin subfamily	Hydrolases
O95147	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
O95243	3.2.2.-		Hydrolases
O95256	3.2.2.6	Interleukin-1 receptor family	Hydrolases
O95263	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE8 subfamily	Hydrolases
O95278	3.1.3.-; 3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family	Hydrolases
O95372	3.1.2.-; 3.1.2.22	AB hydrolase superfamily, AB hydrolase 2 family	Hydrolases
O95450	3.4.24.14		Hydrolases
O95453	3.1.13.4	CAF1 family	Hydrolases
O95476	3.1.3.16	Dullard family	Hydrolases
O95479	1.1.1.363; 1.1.1.47; 3.1.1.31	Glucose-6-phosphate dehydrogenase family; Glucosamine/galactosamine-6-phosphate isomerase family, 6-phosphogluconolactonase subfamily	Hydrolases
O95497	3.5.1.92	Carbon-nitrogen hydrolase superfamily, BTD/VNN family	Hydrolases
O95498	3.5.1.92	Carbon-nitrogen hydrolase superfamily, BTD/VNN family	Hydrolases
O95551	3.1.4.-	CCR4/nocturin family	Hydrolases
O95630	3.4.19.-	Peptidase M67C family	Hydrolases
O95671	2.1.1.-; 3.6.1.9	Maf family, YhdE subfamily; Class I-like SAM-binding methyltransferase superfamily, Cation-independent O-methyltransferase family	Hydrolases
O95672	3.4.24.-	Peptidase M13 family	Hydrolases
O95677	3.1.3.48	HAD-like hydrolase superfamily, EYA family	Hydrolases
O95786	3.6.4.13	Helicase family, RLR subfamily	Hydrolases
O95803	2.8.2.8; 3.-.-.-	Sulfotransferase 1 family, NDST subfamily	Hydrolases
O95848	3.6.1.45	Nudix hydrolase family	Hydrolases
O95861	3.1.3.57; 3.1.3.7	Inositol monophosphatase superfamily	Hydrolases
O95865	3.-.-.-	DDAH family	Hydrolases
O95870	3.1.-.-; 3.1.1.23	AB hydrolase superfamily, ABHD16 family	Hydrolases
O95989	3.6.1.10; 3.6.1.52; 3.6.1.59; 3.6.1.61; 3.6.1.62	Nudix hydrolase family, DIPP subfamily	Hydrolases
O96009	3.4.23.-	Peptidase A1 family	Hydrolases
P00734	3.4.21.5	Peptidase S1 family	Hydrolases
P00736	3.4.21.41	Peptidase S1 family	Hydrolases
P00740	3.4.21.22	Peptidase S1 family	Hydrolases
P00742	3.4.21.6	Peptidase S1 family	Hydrolases
P00746	3.4.21.46	Peptidase S1 family	Hydrolases
P00747	3.4.21.7	Peptidase S1 family, Plasminogen subfamily	Hydrolases
P00748	3.4.21.38	Peptidase S1 family	Hydrolases
P00749	3.4.21.73	Peptidase S1 family	Hydrolases
P00750	3.4.21.68	Peptidase S1 family	Hydrolases
P00751	3.4.21.47	Peptidase S1 family	Hydrolases
P00797	3.4.23.15	Peptidase A1 family	Hydrolases
P00813	3.5.4.4	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family	Hydrolases
P01111	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P01112	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P01116	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P02788	3.4.21.-	Transferrin family	Hydrolases
P03950	3.1.27.-	Pancreatic ribonuclease family	Hydrolases
P03951	3.4.21.27	Peptidase S1 family, Plasma kallikrein subfamily	Hydrolases
P03952	3.4.21.34	Peptidase S1 family, Plasma kallikrein subfamily	Hydrolases
P03956	3.4.24.7	Peptidase M10A family	Hydrolases
P04054	3.1.1.4	Phospholipase A2 family	Hydrolases
P04062	2.4.1.-; 3.2.1.-; 3.2.1.45; 3.2.1.46	Glycosyl hydrolase 30 family	Hydrolases
P04066	3.2.1.51	Glycosyl hydrolase 29 family	Hydrolases
P04070	3.4.21.69	Peptidase S1 family	Hydrolases
P04180	2.3.1.43; 3.1.1.47	AB hydrolase superfamily, Lipase family	Hydrolases
P04746	3.2.1.1	Glycosyl hydrolase 13 family	Hydrolases
P05089	3.5.3.1	Arginase family	Hydrolases
P05156	3.4.21.45	Peptidase S1 family	Hydrolases
P05186	3.1.3.1; 3.9.1.1	Alkaline phosphatase family	Hydrolases
P05187	3.1.3.1	Alkaline phosphatase family	Hydrolases
P05981	3.4.21.106	Peptidase S1 family	Hydrolases
P06276	3.1.1.8	Type-B carboxylesterase/lipase family	Hydrolases
P06280	3.2.1.22	Glycosyl hydrolase 27 family	Hydrolases
P06681	3.4.21.43	Peptidase S1 family	Hydrolases
P06858	3.1.1.32; 3.1.1.34	AB hydrolase superfamily, Lipase family	Hydrolases
P06865	3.2.1.52	Glycosyl hydrolase 20 family	Hydrolases
P06870	3.4.21.35	Peptidase S1 family, Kallikrein subfamily	Hydrolases
P07098	3.1.1.3	AB hydrolase superfamily, Lipase family	Hydrolases
P07099	3.3.2.9	Peptidase S33 family	Hydrolases
P07288	3.4.21.77	Peptidase S1 family, Kallikrein subfamily	Hydrolases
P07339	3.4.23.5	Peptidase A1 family	Hydrolases
P07384	3.4.22.52	Peptidase C2 family	Hydrolases
P07477	3.4.21.4	Peptidase S1 family	Hydrolases
P07478	3.4.21.4	Peptidase S1 family	Hydrolases
P07686	3.2.1.52	Glycosyl hydrolase 20 family	Hydrolases
P07711	3.4.22.15	Peptidase C1 family	Hydrolases
P07858	3.4.22.1	Peptidase C1 family	Hydrolases
P07900	3.6.4.10	Heat shock protein 90 family	Hydrolases
P08217	3.4.21.71	Peptidase S1 family, Elastase subfamily	Hydrolases
P08218	3.4.21.71	Peptidase S1 family, Elastase subfamily	Hydrolases
P08236	3.2.1.31	Glycosyl hydrolase 2 family	Hydrolases
P08246	3.4.21.37	Peptidase S1 family, Elastase subfamily	Hydrolases
P08253	3.4.24.24	Peptidase M10A family	Hydrolases
P08254	3.4.24.17	Peptidase M10A family	Hydrolases
P08311	3.4.21.20	Peptidase S1 family	Hydrolases
P08473	3.4.24.11	Peptidase M13 family	Hydrolases
P08519	3.4.21.-	Peptidase S1 family, Plasminogen subfamily	Hydrolases
P08575	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 1/6 subfamily	Hydrolases
P08709	3.4.21.21	Peptidase S1 family	Hydrolases
P08842	3.1.6.2	Sulfatase family	Hydrolases
P08861	3.4.21.70	Peptidase S1 family, Elastase subfamily	Hydrolases
P08910	3.1.1.23; 3.1.1.6; 3.1.1.79	AB hydrolase superfamily, AB hydrolase 4 family	Hydrolases
P09237	3.4.24.23	Peptidase M10A family	Hydrolases
P09238	3.4.24.22	Peptidase M10A family	Hydrolases
P09467	3.1.3.11	FBPase class 1 family	Hydrolases
P09471	3.6.5.-	G-alpha family, G(i/o/t/z) subfamily	Hydrolases
P09543	3.1.4.37	2H phosphoesterase superfamily, CNPase family	Hydrolases
P09668	3.4.22.16	Peptidase C1 family	Hydrolases
P09848	3.2.1.108; 3.2.1.62	Glycosyl hydrolase 1 family	Hydrolases
P09871	3.4.21.42	Peptidase S1 family	Hydrolases
P09923	3.1.3.1	Alkaline phosphatase family	Hydrolases
P09936	3.4.19.12	Peptidase C12 family	Hydrolases
P09958	3.4.21.75	Peptidase S8 family, Furin subfamily	Hydrolases
P09960	3.3.2.6; 3.4.11.4	Peptidase M1 family	Hydrolases
P0C024	3.6.1.-; 3.6.1.77	Nudix hydrolase family, PCD1 subfamily	Hydrolases
P0C7P3	3.1.-.-	Schlafen family, Subgroup III subfamily	Hydrolases
P0C869	3.1.1.4; 3.1.1.5		Hydrolases
P0C870	1.14.11.63; 3.4.-.-		Hydrolases
P0CW18	3.4.21.-	Peptidase S1 family	Hydrolases
P0DJD7	3.4.23.1	Peptidase A1 family	Hydrolases
P0DJD8	3.4.23.1	Peptidase A1 family	Hydrolases
P0DJD9	3.4.23.1	Peptidase A1 family	Hydrolases
P0DPD6	3.4.24.71	Peptidase M13 family	Hydrolases
P0DPD8	2.1.1.-; 3.4.24.71	Methyltransferase superfamily; Peptidase M13 family	Hydrolases
P0DPH7	3.6.5.-	Tubulin family	Hydrolases
P0DPH8	3.6.5.-	Tubulin family	Hydrolases
P0DTE7	3.2.1.1	Glycosyl hydrolase 13 family	Hydrolases
P0DTE8	3.2.1.1	Glycosyl hydrolase 13 family	Hydrolases
P0DUB6	3.2.1.1	Glycosyl hydrolase 13 family	Hydrolases
P10114	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P10144	3.4.21.79	Peptidase S1 family, Granzyme subfamily	Hydrolases
P10253	3.2.1.20	Glycosyl hydrolase 31 family	Hydrolases
P10265	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P10301	3.6.5.-	Small GTPase superfamily, Ras family	Hydrolases
P10323	3.4.21.10	Peptidase S1 family	Hydrolases
P10586	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 2A subfamily	Hydrolases
P10619	3.4.16.5	Peptidase S10 family	Hydrolases
P10696	3.1.3.1	Alkaline phosphatase family	Hydrolases
P10768	3.1.1.56; 3.1.2.12	Esterase D family	Hydrolases
P11021	3.6.4.10	Heat shock protein 70 family	Hydrolases
P11117	3.1.3.2	Histidine acid phosphatase family	Hydrolases
P11142	3.6.4.10	Heat shock protein 70 family	Hydrolases
P11150	3.1.1.3; 3.1.1.32; 3.1.1.5	AB hydrolase superfamily, Lipase family	Hydrolases
P11233	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P11234	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
P11586	1.5.1.5; 3.5.4.9; 6.3.4.3	Tetrahydrofolate dehydrogenase/cyclohydrolase family; Formate--tetrahydrofolate ligase family	Hydrolases
P12544	3.4.21.78	Peptidase S1 family, Granzyme subfamily	Hydrolases
P12724	3.1.27.-	Pancreatic ribonuclease family	Hydrolases
P12821	3.4.15.1	Peptidase M2 family	Hydrolases
P12955	3.4.13.9	Peptidase M24B family, Eukaryotic-type prolidase subfamily	Hydrolases
P12956	3.6.4.-; 4.2.99.-	Ku70 family	Hydrolases
P13010	3.6.4.-	Ku80 family	Hydrolases
P13051	3.2.2.27	Uracil-DNA glycosylase (UDG) superfamily, UNG family	Hydrolases
P13497	3.4.24.19		Hydrolases
P13639	3.6.5.-	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily	Hydrolases
P13686	3.1.3.2	Metallophosphoesterase superfamily, Purple acid phosphatase family	Hydrolases
P13798	3.4.19.1	Peptidase S9C family	Hydrolases
P13995	1.5.1.15; 3.5.4.9	Tetrahydrofolate dehydrogenase/cyclohydrolase family	Hydrolases
P14091	3.4.23.34	Peptidase A1 family	Hydrolases
P14384	3.4.17.12	Peptidase M14 family	Hydrolases
P14410	3.2.1.10; 3.2.1.48	Glycosyl hydrolase 31 family	Hydrolases
P14555	3.1.1.4	Phospholipase A2 family	Hydrolases
P14735	3.4.24.56	Peptidase M16 family	Hydrolases
P14778	3.2.2.6	Interleukin-1 receptor family	Hydrolases
P14780	3.4.24.35	Peptidase M10A family	Hydrolases
P15085	3.4.17.1	Peptidase M14 family	Hydrolases
P15086	3.4.17.2	Peptidase M14 family	Hydrolases
P15144	3.4.11.2	Peptidase M1 family	Hydrolases
P15153	3.6.5.2	Small GTPase superfamily, Rho family	Hydrolases
P15169	3.4.17.3	Peptidase M14 family	Hydrolases
P15170	3.6.5.-	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, ERF3 subfamily	Hydrolases
P15289	3.1.6.8	Sulfatase family	Hydrolases
P15309	3.1.3.2; 3.1.3.48; 3.1.3.5	Histidine acid phosphatase family	Hydrolases
P15374	3.4.19.12	Peptidase C12 family	Hydrolases
P15586	3.1.6.14	Sulfatase family	Hydrolases
P15848	3.1.6.12	Sulfatase family	Hydrolases
P15918	2.3.2.27; 3.1.-.-	RAG1 family	Hydrolases
P16118	2.7.1.105; 3.1.3.46	Phosphoglycerate mutase family	Hydrolases
P16233	3.1.1.3	AB hydrolase superfamily, Lipase family	Hydrolases
P16278	3.2.1.23	Glycosyl hydrolase 35 family	Hydrolases
P16298	3.1.3.16	PPP phosphatase family, PP-2B subfamily	Hydrolases
P16444	3.4.13.19; 3.5.2.6	Metallo-dependent hydrolases superfamily, Peptidase M19 family	Hydrolases
P16499	3.1.4.35	Cyclic nucleotide phosphodiesterase family	Hydrolases
P16519	3.4.21.94	Peptidase S8 family, Furin subfamily	Hydrolases
P16870	3.4.17.10	Peptidase M14 family	Hydrolases
P16885	3.1.4.11		Hydrolases
P16930	3.7.1.2	FAH family	Hydrolases
P17050	3.2.1.49	Glycosyl hydrolase 27 family	Hydrolases
P17405	3.1.4.12; 3.1.4.3	Acid sphingomyelinase family	Hydrolases
P17655	3.4.22.53	Peptidase C2 family	Hydrolases
P17706	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class 1 subfamily	Hydrolases
P17844	3.6.4.13	DEAD box helicase family, DDX5/DBP2 subfamily	Hydrolases
P18031	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class 1 subfamily	Hydrolases
P18054	1.13.11.-; 1.13.11.31; 1.13.11.33; 3.3.2.-	Lipoxygenase family	Hydrolases
P18433	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 4 subfamily	Hydrolases
P18545	3.1.4.35	Rod/cone cGMP-PDE gamma subunit family	Hydrolases
P19174	3.1.4.11		Hydrolases
P19440	2.3.2.2; 3.4.19.13; 3.4.19.14	Gamma-glutamyltransferase family	Hydrolases
P19835	3.1.1.13; 3.1.1.3; 3.1.1.6	Type-B carboxylesterase/lipase family	Hydrolases
P20142	3.4.23.3	Peptidase A1 family	Hydrolases
P20151	3.4.21.35	Peptidase S1 family, Kallikrein subfamily	Hydrolases
P20231	3.4.21.59	Peptidase S1 family, Tryptase subfamily	Hydrolases
P20338	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P20339	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
P20718	3.4.21.-	Peptidase S1 family, Granzyme subfamily	Hydrolases
P20807	3.4.22.54	Peptidase C2 family	Hydrolases
P20933	3.5.1.26	Ntn-hydrolase family	Hydrolases
P21128	3.1.-.-; 4.6.1.-	ENDOU family	Hydrolases
P21580	2.3.2.-; 3.4.19.12	Peptidase C64 family	Hydrolases
P21589	3.1.3.35; 3.1.3.5; 3.1.3.89; 3.1.3.91; 3.1.3.99	5'-nucleotidase family	Hydrolases
P21980	2.3.1.-; 2.3.2.13; 3.4.-.-; 3.5.1.44	Transglutaminase superfamily, Transglutaminase family	Hydrolases
P22303	3.1.1.7	Type-B carboxylesterase/lipase family	Hydrolases
P22304	3.1.6.13	Sulfatase family	Hydrolases
P22413	3.1.4.1; 3.6.1.9	Nucleotide pyrophosphatase/phosphodiesterase family	Hydrolases
P22760	3.1.1.3	'GDXG' lipolytic enzyme family	Hydrolases
P22894	3.4.24.34	Peptidase M10A family	Hydrolases
P23109	3.5.4.6	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family	Hydrolases
P23141	3.1.1.1; 3.1.1.13; 3.1.1.56	Type-B carboxylesterase/lipase family	Hydrolases
P23276	3.4.24.-	Peptidase M13 family	Hydrolases
P23467	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 3 subfamily	Hydrolases
P23468	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 2A subfamily	Hydrolases
P23469	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 4 subfamily	Hydrolases
P23470	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 5 subfamily	Hydrolases
P23471	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 5 subfamily	Hydrolases
P23526	3.13.2.1	Adenosylhomocysteinase family	Hydrolases
P23946	3.4.21.39	Peptidase S1 family, Granzyme subfamily	Hydrolases
P24158	3.4.21.76	Peptidase S1 family, Elastase subfamily	Hydrolases
P24347	3.4.24.-	Peptidase M10A family	Hydrolases
P24666	3.1.3.2; 3.1.3.48	Low molecular weight phosphotyrosine protein phosphatase family	Hydrolases
P24855	3.1.21.1	DNase I family	Hydrolases
P24928	2.7.7.48; 2.7.7.6; 3.1.13.-	RNA polymerase beta' chain family	Hydrolases
P25205	3.6.4.12	MCM family	Hydrolases
P25774	3.4.22.27	Peptidase C1 family	Hydrolases
P26045	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class subfamily	Hydrolases
P26196	3.6.4.13	DEAD box helicase family, DDX6/DHH1 subfamily	Hydrolases
P27169	3.1.1.2; 3.1.1.81; 3.1.8.1	Paraoxonase family	Hydrolases
P27487	3.4.14.5	Peptidase S9B family, DPPIV subfamily	Hydrolases
P27695	3.1.11.2; 3.1.21.-	DNA repair enzymes AP/ExoA family	Hydrolases
P27708	2.1.3.2; 3.5.1.2; 3.5.2.3; 6.3.4.16; 6.3.5.5	CarA family; CarB family; Metallo-dependent hydrolases superfamily, DHOase family, CAD subfamily; Aspartate/ornithine carbamoyltransferase superfamily, ATCase family	Hydrolases
P27815	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE4 subfamily	Hydrolases
P28039	3.1.1.77		Hydrolases
